,user,tweet
0,jjason17,"RT @ajaynewsman: #vikrant #IndianNavy
Need a another Vikrant like 45-k tonne carrier: Navy seeks MoD nod. It will be same design and STOBAR…"
1,KiranDhawal11,"RT @_lokeshsharma: A big salute to our @indiannavy personnel and their fearless service to the Nation on #NavyDay. 
Jai Hind 🇮🇳 
#IndianNav…"
2,KamalHaasanTeam,"RT @MirrorNow: Headlines at 4 PM with @radhika1705 

#KamalHaasan #ArvindKejriwal #IndianNavy https://t.co/u0lIRveNtM"
3,SujalRa96564591,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
4,Dharm73473662,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
5,s10boyal,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
6,Simran30_mki,"RT @NewsIADN: #MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint activitie…"
7,VidhwansakD,"RT @NewsIADN: #MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint activitie…"
8,Rameshw47559461,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
9,Husnain06056323,"RT @IN_GDD: Contributing to #PuneetSagar Abhiyan for clean, serene &amp; pristine Sea Shores #IndianNavy personnel &amp; families of #Gujarat Naval…"
10,NewsIADN,"#MARCOS + #SEALS during Exercise Sangam 2022

Elite Special Forces from both navies conducted a wide range of joint… https://t.co/M5nIYYyRuY"
11,PplFuture,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
12,rajeevpatel5,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
13,misterzedpk,"RT @IN_WNC: In conducting Exercise Sangam-22, #IndianNavy #MARCOS and @USNavy SEALS sharpened their tactical skills in close quarter battle…"
14,PRO_Vizag,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
15,KrishRa44716979,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
16,bhargavbhuva4,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
17,KhursidAhmed11,"RT @IN_NetajiSubhas: As part of #PuneetSagarAbhiyan #IndianNavy personnel of NOIC (WBG)/ INS Netaji Subhas, undertook #Hooghly Riverfront #…"
18,VaidDatta,"RT @Defence_XP: Report: P15B destroyer INS Mormugao commissioned into @IndianNavy today.

#IndianNavy 🇮🇳 https://t.co/21Zx16T2rh"
19,The_SkullKnight,"RT @Defence_United_: P15B Vishakhapatnam-class destroyer #INSMormugao commissioned into Indian Navy today.

#IndianNavy 🇮🇳 https://t.co/nUI…"
20,chaubey_jii_,"RT @BhairavHu1008: #INS #Mormugao a P15B stealth-guided missile destroyer, commissioned into the #IndianNavy in the presence of Defence Min…"
21,DefPROMumbai,"RT @IN_WNC: In conducting Exercise Sangam-22, #IndianNavy #MARCOS and @USNavy SEALS sharpened their tactical skills in close quarter battle…"
22,KULDEEP20214O,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
23,gantarangarao,RT @defencealerts: 🔴2nd P-15B #INSMormugao Stealth guided Missile Destroyer Commissioned into #IndianNavy https://t.co/7jyYep05OH
24,Sohi71525278,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
25,Defence_United_,"P15B Vishakhapatnam-class destroyer #INSMormugao commissioned into Indian Navy today.

#IndianNavy 🇮🇳 https://t.co/nUIlrfjBFh"
26,IN_WNC,"In conducting Exercise Sangam-22, #IndianNavy #MARCOS and @USNavy SEALS sharpened their tactical skills in close qu… https://t.co/wUtMJVgcqI"
27,07VinodYadav,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
28,AsiaNewsVideo,"5 Facts On INS Mormugao, India’s Latest Stealth Class Warship #IndiaNavy #IndiaNewsToday #IndianNavy [Video] https://t.co/FRqEpWbRyh"
29,Suvojit65265933,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
30,SovanBhunia1998,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
31,Siddhar62716018,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
32,Bhss_tiwari,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
33,thefirstindia,"""Will do shipbuilding for World in future..."" Rajnath Singh while commissioning INS Mormugao… https://t.co/GtbooSTSGD"
34,bvrraju3,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
35,Vnation_111,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
36,Dr_Rajib_,"Our government is working with ‘DevINE’ intentions: PM @narendramodi Ji in #Meghalaya.

#NAMO
#BJP
#MyGov… https://t.co/vIp5mo1sbK"
37,PRODefNgp,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
38,Captsandeep2,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
39,Mohin79271430,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
40,guts_ya,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
41,Jeffarin22,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
42,KaurAniket,@RDXThinksThat @ombirlakota @jdhankhar1 Whatbis he talking for the sake of politucs these ppl can utter such words… https://t.co/kOTYx89OJh
43,VandelayT,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
44,GhatakBoy,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
45,SAMS40308903,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
46,_KyaChahteHo,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
47,Savip133,"RT @Tanmaycoolkarni: #INSMormugao, a P15B indigenous stealth-guided missile destroyer, commissioned into the #IndianNavy

INS Mormugao is t…"
48,Narayan36754275,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
49,Adit_Babu,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
50,SritamKumarPat2,"RT @Defence_XP: Report: P15B destroyer INS Mormugao commissioned into @IndianNavy today.

#IndianNavy 🇮🇳 https://t.co/21Zx16T2rh"
51,niranjansp01,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
52,Sohin49235294,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
53,VidhwansakD,"RT @NewsIADN: #IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal Batteries…"
54,NewsIADN,"#IndianNavy has inducted Containerised BrahMos Missile system.

Called the Next Generation Maritime Mobile Coastal… https://t.co/xNOF3MDAfx"
55,Abhishe45998840,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
56,Kanhaiy72702213,"RT @_lokeshsharma: A big salute to our @indiannavy personnel and their fearless service to the Nation on #NavyDay. 
Jai Hind 🇮🇳 
#IndianNav…"
57,MRW27210497,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
58,UmeshaNayak2,RT @Defence_Nation: The 2nd indigenous Stealth Missile Destroyer of P15B Visakhapatnam Class #INSMormugao was commissioned today into the I…
59,JamesCa70626795,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
60,lin_linkent,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
61,KhajoorSingh15,"RT @indiannavy: Watch Live Commissioning of Mormugao on the #IndianNavy @YouTube Channel from 1100h today 18 Dec 22.
⬇️
https://t.co/WpZeJN…"
62,BrajKis11551935,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
63,mksharma4269,"RT @PanchvatiNasik: Defence minister Rajnath Singh, Navy chief Admiral R Hari Kumar and Goa CM Pramod Sawant were among those present at th…"
64,KingPraveena,"RT @IndiainSwiss: #ThisDayThatYear

#OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andama…"
65,LingampallyL,"RT @InsightGL: -#IndianNavy firing on all cylinders to keep an edge in IOR
-2nd Project 15B, Stealth Destroyer INS Mormugao to be commissio…"
66,GhatakBoy,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
67,RSS2810,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
68,DigvijaySutar6,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
69,GhatakBoy,RT @defencealerts: 🔴2nd P-15B #INSMormugao Stealth guided Missile Destroyer Commissioned into #IndianNavy https://t.co/7jyYep05OH
70,GhatakBoy,"RT @Defence_XP: Report: P15B destroyer INS Mormugao commissioned into @IndianNavy today.

#IndianNavy 🇮🇳 https://t.co/21Zx16T2rh"
71,NykeTheSiamese,"RT @BhairavHu1008: #INS Mormugao, a P15B stealth-guided missile destroyer, commissioned into the #IndianNavy in the presence of Defence Min…"
72,om1973,"RT @indiannavy: #IndianNavy #Credible

A credible stakeholder in Nation Building, ready to be the ‘First Responder’ and the ‘Preferred Secu…"
73,krishyazh,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
74,KULDEEP20214O,"RT @Tanmaycoolkarni: #INSMormugao, a P15B indigenous stealth-guided missile destroyer, commissioned into the #IndianNavy

INS Mormugao is t…"
75,KULDEEP20214O,"RT @Defence_XP: Report: P15B destroyer INS Mormugao commissioned into @IndianNavy today.

#IndianNavy 🇮🇳 https://t.co/21Zx16T2rh"
76,KULDEEP20214O,"RT @MirrorNow: INDIA GETS NEW MISSILE DESTROYER 

#INSMormugao, a stealth guided #missile destroyer have been inducted into the #IndianNavy…"
77,KULDEEP20214O,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
78,KULDEEP20214O,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
79,KULDEEP20214O,RT @defencealerts: 🔴2nd P-15B #INSMormugao Stealth guided Missile Destroyer Commissioned into #IndianNavy https://t.co/7jyYep05OH
80,KULDEEP20214O,"RT @BhairavHu1008: #INS #Mormugao a P15B stealth-guided missile destroyer, commissioned into the #IndianNavy in the presence of Defence Min…"
81,KULDEEP20214O,RT @shivanipost: #INSMormugao is Combat Ready #IndianNavy @indiannavy #Mormugao https://t.co/2fU9ACPL4w
82,KULDEEP20214O,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
83,n2r3ndr2,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
84,KULDEEP20214O,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
85,IMSharma_,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
86,abcd88493948,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
87,thirstybanker,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
88,NAVYESM,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
89,Elton_P20,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
90,glowofa1000suns,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
91,sspatilspeaks,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
92,pavankshastry,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
93,IN_INSShivaji,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
94,avjsays,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
95,VakilSaab11,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
96,Realdme_,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
97,konerctfoarnab,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
98,GhayasM73,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
99,naktacarin,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
100,OkOk30280648,"RT @IndoPac_Info: The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to-air m…"
101,Rajni02121818,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
102,IndoPac_Info,"The #IndianNavy commissioned P15B destroyer INS Mormugao into service today.

It's armed with 32 Barak 8 surface-to… https://t.co/zRnoPzAXtn"
103,ashim_82,".@asthana_shashi @InsightGL @Jaykaul @rspathania @seedhadilse @neeraj_rajput
The main takeaway is that India would… https://t.co/wjNFh9YRRL"
104,Nirmal91716638,"RT @AmritMahotsav: #OnThisDay in 2008, #IndianNavy successfully conducted the first test of #BrahMos at sea off the Andaman &amp; Nicobar Islan…"
105,Asif13333785,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
106,Dr_Rajib_,"PM @narendramodi Ji addresses meeting of North Eastern Council in #Shillong.

#NAMO
#BJP
#MyGov
#IndianArmy… https://t.co/bycRLliHST"
107,aditya_museo,Visited Aircraft Museum in Kolcutta absolutely shocked to see signages  of NO Photography I want to know Why do the… https://t.co/lpb0VVTbwg
108,vinirish,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
109,YUVAGAN50585335,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
110,ProAssam,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
111,PIB_Panaji,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
112,harshkkapoor,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
113,VarunAJAYJain,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
114,indiannavy,"RT @IN_HQSNC: #Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute of #Hydrogr…"
115,ArifKha84820300,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
116,Kiran_K_K_,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
117,Ijsrao,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
118,defenceWebn,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
119,defenceWebn,"RT @PRODefPune: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most potent w…"
120,ProAssam,"RT @PRODefPune: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most potent w…"
121,vikasmahale,"Welcome INS Mormugao, the @IndianNavy’s newest indigenously built destroyer!  ⚓️🇮🇳
#INSMormugao #IndianNavy https://t.co/Ozh7KEXOr6"
122,ProAssam,"RT @SpokespersonMoD: Mighty Mormugao, a P15B stealth guided missile destroyer formally inducted into the #IndianNavy. 

One of the most pot…"
123,IN_HQSNC,"#Maldivian delegation led by Brig Gen(Retd)Zakariyya Mansoor,DG 🇲🇻Hydrographic Service visited National Institute o… https://t.co/CjFcO1y0oH"
124,NycNorthCentral,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
125,TheQuint,"#Photos | Made in India guided missile destroyer #INSMormugao commissioned into #IndianNavy.

Read more:… https://t.co/FKmYVit7nD"
126,SandeepUnnithan,RT @News9Plus: India armed and trained Bengali Guerrillas to fight the #PakistanArmy. #WATCH 'Operation X' on #News9Plus to know about the…
127,ncpvikasjha,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
128,dnyanesh0423,"INS Mormugao was commissioned in the Indian Navy on the eve of Goa Liberation Day. 
#IndianNavy
#INSMormugao… https://t.co/IkcOxXVEbU"
129,pm_tripathi,"RT @IndianExpress: Stealth guided missile destroyer Mormugao commissioned into Indian Navy

#Mormugao #IndianNavy

https://t.co/Ejstz9Pt9z"
130,Tangerine2909,"RT @BhairavHu1008: #INS #Mormugao a P15B stealth-guided missile destroyer, commissioned into the #IndianNavy in the presence of Defence Min…"
131,Paras07910619,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
132,News9Plus,India armed and trained Bengali Guerrillas to fight the #PakistanArmy. #WATCH 'Operation X' on #News9Plus to know a… https://t.co/S7RbJGSxmU
133,ChhayaGS1,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
134,SonuThapar15,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
135,NawabMalikSaheb,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
136,NewsInTweetsIn,"The Indian Express: Stealth guided missile destroyer Mormugao commissioned into Indian Navy

#Mormugao #IndianNavy… https://t.co/nnrpV0uMZP"
137,NMSaheb,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
138,IndianExpress,"Stealth guided missile destroyer Mormugao commissioned into Indian Navy

#Mormugao #IndianNavy

https://t.co/Ejstz9Pt9z"
139,FanOfSanaMam,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
140,ParasSasane1,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
141,aniketsasane775,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
142,SasaneChaya2,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
143,Balabira62,RT @DrPramodPSawant: Attended the Commissioning of the #INSMormugao indigenously developed stealth missile destroyer of the #IndianNavy by…
144,Tangerine2909,"RT @NewsIADN: #IndianNavy commissioned the 2nd P15B destroyer INS Mormugao today.

#IADN https://t.co/Y6lX3elPY9"
145,SakshiPost,Indigenous stealth guided missile destroyer #INSMormugao commissioned into #IndianNavy in #Mumbai on Sunday… https://t.co/OpjGkL1em9
146,JAISHRIKRISHNAH,"RT @37VManhas: Do you know after creating Bangladesh in 1971, the armed forces pension was redued from 70% to 50% ?

#IndianArmy 
#IndianAi…"
147,Gautamsasane07,"RT @sanamalikshaikh: Got the opportunity to attend the Commissioning Ceremony of ‘Mormugao’, a P15B stealth guided missile destroyer at Nav…"
148,RameshS92289386,"RT @ashim_82: One of the most potent Made in India ship commissioned... Great day for Indian Armed Forces..
#India
#IndianNavy
#INSMormugao…"
149,thenewsdrum,".@RajnathSingh cites ‘puranas’ to underline Navy’s role in security 
#Mormugao #IndianNavy @indiannavy 
https://t.co/mtHtySVzFp"
